Feature,Coefficient
product_margin,0.022231524502786988
gender_Female,0.00231214540933241
gender_Male,0.0025009821135491502
age_group_20-30,0.002001991797769661
age_group_30-40,0.0026759928568965163
age_group_40-50,0.0029681017355489623
age_group_50-60,0.0033297114360839025
age_group_60-70,0.002773556284670365
age_group_>70,0.001160891267055248
state_NSW,0.0030737260620304994
state_QLD,0.0030351329597383216
state_VIC,0.003175940417342507
job_industry_category_Argiculture,0.0010190974451136383
job_industry_category_Entertainment,0.0012428171419388739
job_industry_category_Financial Services,0.002945761383399194
job_industry_category_Health,0.003281206854966575
job_industry_category_IT,0.002128136545901654
job_industry_category_Manufacturing,0.0029905321469296483
job_industry_category_Property,0.0018828066165239715
job_industry_category_Retail,0.001996003692727787
job_industry_category_Telecommunications,0.0006159312194735914
job_title_Account Coordinator,0.0007080897648299146
job_title_Account Executive,0.0004399584277451581
job_title_Account Representative I,0.0005900865517047507
job_title_Account Representative II,9.691144395603062e-05
job_title_Account Representative III,0.00012432885053618995
job_title_Account Representative IV,0.0005274450268797402
job_title_Accountant I,0.00020945900063037913
job_title_Accountant II,0.00018839173304983404
job_title_Accountant III,0.0002493475354924086
job_title_Accountant IV,0.0004723730370655809
job_title_Accounting Assistant I,0.0003891333105606341
job_title_Accounting Assistant II,1.7405587279755314e-05
job_title_Accounting Assistant III,0.00024434350418700763
job_title_Accounting Assistant IV,0.0001253694123021972
job_title_Actuary,0.0006748328588797829
job_title_Administrative Assistant II,5.6532263131850395e-05
job_title_Administrative Assistant III,0.0001980823169602793
job_title_Administrative Assistant IV,0.0002531854286844512
job_title_Administrative Officer,0.0012059695499274266
job_title_Analog Circuit Design manager,0.0005351936703344955
job_title_Analyst Programmer,0.0006511081113831514
job_title_Assistant Manager,0.00046957144830697315
job_title_Assistant Media Planner,0.0005759031591175658
job_title_Assistant Professor,0.0008961233652493767
job_title_Associate Professor,0.0005913971117232512
job_title_Automation Specialist I,0.00019834650289640956
job_title_Automation Specialist II,0.00013065094995986628
job_title_Automation Specialist III,0.0002253257945834829
job_title_Automation Specialist IV,0.00011315323282058859
job_title_Biostatistician I,0.000286097270019609
job_title_Biostatistician II,0.0001638925640081422
job_title_Biostatistician III,5.494966706295527e-05
job_title_Biostatistician IV,0.00036252305028032863
job_title_Budget/Accounting Analyst I,7.029173496086118e-05
job_title_Budget/Accounting Analyst II,7.71096572659564e-05
job_title_Budget/Accounting Analyst III,0.0002983137788912348
job_title_Budget/Accounting Analyst IV,0.00032950801252951416
job_title_Business Systems Development Analyst,0.0009227761838785446
job_title_Chemical Engineer,0.0006660397787259287
job_title_Chief Design Engineer,0.0005839974621613821
job_title_Civil Engineer,0.0010046657918576646
job_title_Clinical Specialist,0.000843944205058262
job_title_Community Outreach Specialist,0.0006252119185573066
job_title_Compensation Analyst,0.000698179867739833
job_title_Computer Systems Analyst I,0.0003242941568315679
job_title_Computer Systems Analyst II,6.526619311537968e-05
job_title_Computer Systems Analyst III,0.00016679942467615725
job_title_Computer Systems Analyst IV,8.000830654755666e-05
job_title_Cost Accountant,0.0012371118519491134
job_title_Data Coordiator,0.0005846682651142191
job_title_Database Administrator I,0.00046385197859650503
job_title_Database Administrator II,0.00024234101591650247
job_title_Database Administrator III,0.00047895320747827296
job_title_Database Administrator IV,0.00011328509724671124
job_title_Dental Hygienist,0.0007789152461471272
job_title_Design Engineer,0.0006707672404163232
job_title_Desktop Support Technician,0.0010187945276164212
job_title_Developer I,3.6331845767190246e-05
job_title_Developer II,2.783770554860953e-05
job_title_Developer III,0.00021809615071712246
job_title_Developer IV,8.480157250477218e-05
job_title_Director of Sales,0.0008775636576599103
job_title_Editor,0.0009417515443644155
job_title_Electrical Engineer,0.0005731976551096662
job_title_Engineer I,0.00019485747081712977
job_title_Engineer II,7.155128977061985e-05
job_title_Engineer III,7.826077100091726e-05
job_title_Engineer IV,0.0004019278827995293
job_title_Environmental Specialist,0.00014708316087450832
job_title_Environmental Tech,0.0006134650682593664
job_title_Executive Secretary,0.0006612062339726396
job_title_Financial Advisor,0.0009006350853206393
job_title_Financial Analyst,0.0009553935643676932
