customer_id,gender,age_group,state,job_industry_category,job_title,online_order,order_status,wealth_segment,brand,product_line,product_class,product_size,tenure,tenure_period,past_3_years_bike_related_purchases,valuation_category,property_valuation,product_margin
1,Female,>70,NSW,Health,Executive Secretary,0.0,Approved,Mass Customer,OHM Cycles,Standard,medium,medium,11.0,10-15,93,>9,10,0.46921020243602257
2,Male,40-50,NSW,Financial Services,Administrative Officer,1.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,16.0,>15,81,>9,10,0.3196864980406127
9,Female,50-60,NSW,Argiculture,Business Systems Development Analyst,0.0,Approved,Affluent Customer,Solex,Standard,medium,large,8.0,5-10,97,>9,12,0.30896039790497
12,Male,20-30,QLD,Manufacturing,Nuclear Power Engineer,0.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,large,8.0,5-10,58,3-6,4,0.678676044683492
13,Male,60-70,VIC,Financial Services,Developer I,0.0,Approved,High Net Worth,Solex,Standard,medium,medium,8.0,5-10,38,6-9,6,0.49370644992224355
14,Female,40-50,NSW,Financial Services,Account Executive,1.0,Approved,Affluent Customer,OHM Cycles,Standard,medium,medium,6.0,5-10,85,6-9,8,0.2499728053954096
15,Male,20-30,NSW,Manufacturing,Junior Executive,0.0,Approved,Mass Customer,Norco Bicycles,Road,medium,medium,1.0,<5,91,>9,9,0.3073430750850106
19,Female,20-30,NSW,Manufacturing,Geological Engineer,0.0,Approved,High Net Worth,Giant Bicycles,Standard,medium,small,1.0,<5,76,>9,9,0.11000122003294088
20,Male,40-50,NSW,Manufacturing,Project Manager,1.0,Approved,Mass Customer,Giant Bicycles,Standard,high,medium,11.0,10-15,72,6-9,8,0.3999982287247704
21,Male,40-50,NSW,Manufacturing,Safety Technician I,1.0,Approved,Affluent Customer,OHM Cycles,Standard,low,medium,16.0,>15,74,6-9,7,0.8612602666399024
24,Female,40-50,NSW,Argiculture,Research Assistant I,0.0,Approved,Mass Customer,OHM Cycles,Standard,medium,medium,15.0,>15,55,>9,10,0.8722810370407624
25,Male,40-50,QLD,Financial Services,Accounting Assistant III,1.0,Approved,Mass Customer,OHM Cycles,Standard,medium,medium,21.0,>15,72,3-6,3,0.8722810370407624
26,Female,40-50,QLD,Financial Services,Editor,1.0,Approved,Mass Customer,WeareA2B,Road,low,small,16.0,>15,12,3-6,5,0.1100035812343321
27,Male,40-50,VIC,Health,Research Nurse,1.0,Approved,Mass Customer,WeareA2B,Touring,medium,large,12.0,10-15,37,6-9,7,0.8623881844487116
28,Male,50-60,QLD,Health,Senior Quality Engineer,1.0,Approved,Affluent Customer,Solex,Standard,medium,medium,21.0,>15,5,3-6,4,0.9328546386192018
29,Female,50-60,QLD,Manufacturing,Safety Technician III,0.0,Approved,Mass Customer,Giant Bicycles,Standard,high,medium,19.0,>15,62,6-9,7,0.4
31,Female,60-70,NSW,Telecommunications,Staff Accountant III,1.0,Approved,High Net Worth,OHM Cycles,Road,medium,medium,14.0,10-15,3,>9,12,0.10119320171303901
32,Female,20-30,NSW,Manufacturing,Legal Assistant,0.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,large,4.0,<5,17,>9,9,0.07221363859821617
35,Female,60-70,QLD,Health,Information Systems Manager,0.0,Approved,High Net Worth,Norco Bicycles,Road,medium,medium,16.0,>15,40,6-9,6,0.8009338311193432
37,Female,30-40,QLD,Health,Social Worker,1.0,Approved,High Net Worth,OHM Cycles,Standard,low,medium,16.0,>15,46,<3,1,0.8612602666399024
38,Female,60-70,QLD,Financial Services,Senior Cost Accountant,0.0,Approved,Affluent Customer,Solex,Standard,low,medium,20.0,>15,37,3-6,4,0.9422335930534558
39,Male,40-50,NSW,Entertainment,Assistant Media Planner,0.0,Approved,Mass Customer,Giant Bicycles,Road,medium,medium,22.0,>15,5,>9,10,0.24999369403455673
