Feature,Coefficient,Absolute Coefficient
job_industry_category_Entertainment,-0.3578668537878348,0.3578668537878348
job_industry_category_Telecommunications,-0.24939254976071681,0.24939254976071681
job_industry_category_Argiculture,0.24589757186472477,0.24589757186472477
order_status_Cancelled,-0.2425902283043713,0.2425902283043713
job_industry_category_Health,0.2127287767148681,0.2127287767148681
order_status_Approved,0.17950958413938914,0.17950958413938914
age_group_30-40,0.14619026877602193,0.14619026877602193
age_group_>70,-0.13799852668838988,0.13799852668838988
job_industry_category_Retail,0.13651574210665013,0.13651574210665013
tenure_period_>15,-0.09380224495768458,0.09380224495768458
brand_Giant Bicycles,0.07487652343218204,0.07487652343218204
age_group_60-70,-0.06797906492808986,0.06797906492808986
gender_Female,-0.0655898240749233,0.0655898240749233
state_VIC,-0.06467135826101461,0.06467135826101461
brand_WeareA2B,-0.06067562210454987,0.06067562210454987
brand_Norco Bicycles,-0.058200886544919735,0.058200886544919735
property_valuation_3-6,0.05053889382573117,0.05053889382573117
job_industry_category_Financial Services,-0.050461450350906926,0.050461450350906926
property_valuation_>9,-0.04840672977061432,0.04840672977061432
product_size_large,-0.04810921026934611,0.04810921026934611
wealth_segment_High Net Worth,-0.04775367709639769,0.04775367709639769
product_line_Mountain,-0.044815224617030684,0.044815224617030684
wealth_segment_Mass Customer,-0.0411347383988945,0.0411347383988945
tenure_period_<5,0.039198606771522294,0.039198606771522294
product_line_Road,-0.03880681136185719,0.03880681136185719
property_valuation_6-9,-0.03787685567331862,0.03787685567331862
product_line_Touring,0.03517225787231239,0.03517225787231239
product_class_medium,-0.034465011815889686,0.034465011815889686
product_size_small,-0.02939386599068752,0.02939386599068752
property_valuation_<3,-0.027335952546779393,0.027335952546779393
age_group_50-60,-0.026349308050649185,0.026349308050649185
wealth_segment_Affluent Customer,0.025807771330310952,0.025807771330310952
brand_Solex,-0.024779668555647096,0.024779668555647096
age_group_40-50,0.023053253044390636,0.023053253044390636
job_industry_category_IT,-0.018746839650674342,0.018746839650674342
product_class_low,-0.01812201662748077,0.01812201662748077
tenure_period_10-15,-0.01744306223459013,0.01744306223459013
online_order,-0.016540730871908264,0.016540730871908264
job_industry_category_Manufacturing,0.01633571838356722,0.01633571838356722
product_line_Standard,-0.014630866058405233,0.014630866058405233
product_size_medium,0.014422432095050989,0.014422432095050989
brand_OHM Cycles,0.011516554315664153,0.011516554315664153
product_class_high,-0.010493615721611024,0.010493615721611024
tenure_period_5-10,0.00896605625577061,0.00896605625577061
product_margin,0.008597271098148777,0.008597271098148777
brand_Trek Bicycles,-0.005817544707710319,0.005817544707710319
state_QLD,0.005446486445150066,0.005446486445150066
state_NSW,-0.003855772349115929,0.003855772349115929
gender_Male,0.0025091799099414723,0.0025091799099414723
job_industry_category_Property,0.001909240315341947,0.001909240315341947
age_group_20-30,2.7336817355257814e-06,2.7336817355257814e-06
